"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
9,"California",1,157900,157800,157500,157300,157000,156800,156900,157200,157500,158100,159000,159800,160000,160300,160600,161000,161300,161900,162600,163700,165000,166400,168100,168100,168000,169500,171900,173000,174300,175300,176600,177900,179000,180000,181100,182800,184400,185700,187000,188800,190600,192400,194300,196300,198700,201300,204200,206900,209600,212300,215000,217500,219900,222400,225000,227500,230000,232900,235900,238700,241400,243600,245500,247700,250000,252200,254200,256200,258600,261300,264100,267000,270100,273500,277200,281200,285500,290100,294400,298800,303200,307500,311500,315800,320100,323900,327400,331400,336000,341200,346800,352700,359000,365700,372600,380100,388600,397900,407600,417000,425500,433200,439900,446100,452000,457700,463400,469700,475900,482000,488500,495600,502700,509000,514700,520200,524200,526300,527700,529400,530800,531600,531800,531300,530000,528200,526300,524500,521800,518900,517200,515800,513700,510800,507000,502600,497800,492700,487600,482200,474700,465900,456100,445700,435100,425100,415400,406000,397000,388600,380700,372900,366400,362300,358700,354300,349700,345300,341700,338700,336200,334600,333300,332100,333500,336600,338300,338100,338400,338100,337000,335700,334400,332900,331400,330200,328300,325700,323400,321500,319000,316800,314700,312400,310300,309000,308200,307500,306900,306200,306000,306700,308100,310100,312300,315000,318100,321000,324000,327700,331800,335600,339900,345900,352900,360300,367900,375200,381500,386800,391200,395000,397900,399900,402200,405200,407800,410100,412200,414400,416600,418900,421000,422800,424500,425900,427700,430100,432600,435100,437600,440200,443000,445800,448600,451600,454000,456000,458500,461400,463800,465500,468200,471300,474100,476700,480100,483200,485800
54,"Texas",2,,,,,,,,,,,81200,81600,82000,82400,82900,83400,84000,84600,84800,84500,84400,84600,85000,85400,85700,86100,86400,86800,87000,87200,87600,87700,87700,88300,88900,89500,90200,91100,91800,92400,93000,93500,93800,94100,94200,94400,94400,94500,94900,95300,95500,95700,96000,96500,97000,97200,97300,97400,97700,97800,98100,98300,98500,98800,99200,99500,99900,100200,100300,100700,101200,101500,101600,101900,102300,102800,103200,103800,104400,104900,105100,105300,105600,106100,106400,106500,106800,107300,107900,107900,107700,107600,108400,109400,110800,112100,113400,114500,115500,116200,116900,117700,118200,118500,119000,119600,120200,120600,121100,121600,121900,122000,122200,122700,123200,123600,123800,124300,125100,125900,126400,126900,127400,128000,128100,128300,128900,129500,130300,131100,131400,131400,131700,132200,132600,132900,133300,133500,133600,133900,134000,133300,131900,130500,129300,128100,127100,126600,126800,127200,127600,128000,128800,129900,130800,131300,131800,132100,132500,132900,133200,133100,132800,133000,131100,127600,125600,125900,125800,125700,125500,125300,124700,124200,123900,123500,123300,123800,124000,123600,123300,123100,122800,122200,121700,121400,121200,120800,121200,121900,122400,122400,122500,122600,122700,122600,122600,122900,123000,123100,123500,124300,125100,125700,126200,126700,127300,128000,128500,129000,129400,129800,130300,131000,131800,132400,133200,133800,134400,135000,135800,136400,137000,137600,138500,139300,140000,141100,142400,143600,144700,145900,146900,147900,148900,149600,150600,151900,153400,154600,155700,156800,158100,159500,160400,160800,161300,161800,162400
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333500,333000,332500,331900,330000,327600,325900,324900,323300,320900,318200,316000,313900,312000,310100,309700,300500,285800,277600,277500,275900,274400,272900,271200,269900,268900,268200,267400,268000,269800,270300,268400,266900,265700,264600,263400,262100,260700,259200,258200,257500,256700,255800,255000,254400,253800,253200,252300,251100,250100,248900,247600,246600,245600,245100,245200,244800,244200,244000,244300,244400,244400,244400,244400,244400,244500,244600,244700,245100,245700,246300,246900,247200,247400,247800,248200,248700,249400,249800,249900,250200,250900,251500,252400,253300,253700,253800,254000,254400,254900,255400,256100,257000,257600,258200,258600,259400,260500,261400,261700,262600,264100,265200,265900,266700,267700,268500,269300,270500,272200,274100,276300,278400
14,"Florida",4,86300,86600,86700,86600,86500,86500,86400,86700,86900,87200,87700,88200,88200,88300,88700,89100,89300,89600,89900,90200,90500,91100,91700,92200,92400,92600,92800,92900,93200,93300,93500,93900,94400,95000,95600,96200,96600,96800,97100,97500,98200,98900,99500,99900,100600,101400,102300,102800,103500,104300,105100,105800,106500,107200,108000,108800,109600,110500,111200,111900,112900,113900,114900,115800,116700,117600,118500,119600,120600,121500,122600,123900,125000,126000,127000,128200,129100,130200,131500,132800,133900,135400,136700,138000,139300,140500,141700,143100,144500,146000,147500,149100,150800,152500,154400,156500,158800,161300,164000,167100,170500,174000,177300,180800,184500,188100,192000,196600,201700,207100,212800,218400,223900,229200,234200,238900,242500,245200,247900,250400,252300,253600,254100,254100,253800,252900,251700,250700,249100,246900,244800,242900,240700,238300,235700,233000,229900,226900,223800,220900,217300,213200,208800,204400,200000,195900,192000,188000,184200,180500,176700,172500,169200,167400,165700,163200,160400,157700,155300,153200,151300,149800,148700,147500,146900,146700,146000,144700,143700,142600,141400,140500,139300,137900,136400,135400,134200,132800,131700,131100,130400,129600,129000,128200,127400,126900,126400,126100,125900,126000,126400,127000,127800,128800,129800,130400,131200,132200,133300,134300,135200,136000,137200,138700,140200,141700,143100,144900,146900,148600,150300,152100,153500,154400,155300,156300,157200,158200,159100,160000,161000,162200,163300,164500,165700,166500,167400,168700,170300,171700,173000,174600,176300,177800,179300,180900,182600,183900,185100,186200,187400,188700,190700,192800,194400,195900,198100,200100,201700
21,"Illinois",5,113900,114400,114500,113900,113100,112900,113000,113300,114000,115100,115900,116000,115900,116000,116200,116600,117000,117300,117700,118100,118400,118700,118900,119000,119100,119300,119600,119900,120300,120800,121200,121600,121800,122100,122700,123400,123800,124300,124900,125500,126000,126600,127500,128300,128800,129500,130200,131000,131700,132400,133300,134000,134400,134900,135700,136500,137500,138500,139300,140000,140900,141800,142600,143600,144700,145800,146800,147700,148500,149200,149800,150700,151600,152200,152900,153600,154100,154900,156000,157200,158100,158900,160000,161500,162900,164300,165800,167100,167900,168400,169000,169700,170400,171400,172300,173100,173900,174500,174900,176400,178800,180100,180000,180500,181600,182900,184200,185400,186400,187600,188700,189700,190300,191100,192600,194000,194700,195800,196800,197300,197900,198600,199200,199400,200700,202100,202300,202000,202400,202800,203200,203500,203400,203500,203400,202800,202000,201600,201300,201000,200500,200200,199600,198300,197200,196100,194800,193600,192700,191500,190400,189000,187700,186300,184800,183200,181700,179900,178200,176700,175300,174100,173400,172900,171500,169300,167600,166500,165500,165000,164200,162500,160600,159400,158400,157200,156100,155400,154600,153500,152100,150700,149300,148200,147200,145800,144500,143600,142800,142000,141300,141000,141000,140900,141000,141400,141500,141100,141100,141200,141300,141100,141300,141800,142200,142900,144000,145200,146200,147000,147500,147600,148100,148900,149400,149800,150200,150300,150400,150500,150900,151600,152000,152300,152600,152800,152900,153200,153900,154800,155200,155600,156100,156400,156600,157200,157900,158300,158900,159600,160400,161100,161900,162900,163500,163800,164500,165100,165600
47,"Pennsylvania",6,83300,83700,83800,83600,83700,83900,83900,83700,83800,84000,84200,84600,84800,84700,84800,85100,85200,85300,85500,85800,86100,86400,86700,87200,87500,87600,87600,87800,88000,87800,88100,88600,88900,89100,89500,89700,89900,89900,89900,90100,90100,90200,90400,90700,90900,91200,91700,92200,92500,92800,93200,93700,94100,94300,94700,95100,95400,95700,96000,96500,97300,98100,98500,98800,99300,99900,100300,100800,101400,102000,102600,103100,103400,103900,104500,105300,105900,106700,107300,108200,109000,109800,110700,111500,112200,113100,114000,114800,115700,116800,117900,118800,119600,120600,121300,122000,122800,123500,124500,125600,126600,127500,128600,129600,130500,131500,132700,133800,135000,136200,137500,138700,140000,141100,142100,143200,144300,145000,145500,146100,146700,147400,148100,148900,149500,149900,150400,150900,151100,151000,151100,151600,152300,152900,153200,153400,153800,154100,154300,154200,154000,153700,153400,153300,153200,153200,153200,153100,152900,152900,152600,152200,152300,153100,154000,154100,154000,153700,153100,152600,152300,152100,152000,151800,152100,152400,152500,152300,152100,151800,151400,150800,150200,149600,149000,148700,148600,148200,147600,147200,146500,145900,145500,145300,145000,144800,144500,144200,143600,143000,142900,142900,142800,142700,142900,143000,142900,142900,143300,143800,144200,144100,143900,144000,144200,144600,144700,144800,145000,145200,145200,145200,145200,145400,145400,145600,146000,146500,146800,147000,147100,147200,147300,147200,147300,147400,147300,147300,147700,148300,149000,149600,150200,150600,151100,151500,151400,151500,152200,152800,153200,153300,153700,154500,155300,155900,156500,157000,157600
44,"Ohio",7,88100,88300,88500,88700,88800,89100,89400,89600,89700,90100,90500,90900,91200,91500,91800,92200,92400,92700,93300,93700,94000,94300,94600,95000,95300,95400,95600,95800,96200,96600,96800,97000,97300,97800,98400,98900,99300,99700,100100,100600,101100,101400,101700,102100,102500,102900,103300,103800,104300,105100,105700,106100,106600,106900,107100,107500,107900,108300,108700,109100,109200,109500,110100,110400,110600,110800,111100,111300,111700,112100,112500,112600,112900,113000,113200,113700,114000,114300,114700,115100,115400,115700,116000,116400,116900,117400,117800,118100,118500,119000,119600,120100,120500,120700,120900,121300,121600,121800,122000,122200,122500,122900,123200,123400,123800,124200,124600,124800,125000,125200,125500,125700,125800,126000,126100,126400,126700,126800,126800,126800,126900,126900,126800,126700,126600,126500,126500,126200,125900,125700,125600,125500,125500,125200,124700,124500,124300,123900,123400,123100,122700,122100,121300,120700,120000,119500,119000,118600,118100,117700,117300,116800,116200,115900,115800,115600,115200,114700,114400,114000,113600,113500,113600,113400,113500,114000,114000,113400,113100,113000,112800,112600,112400,111900,111100,110400,110000,109400,108900,108600,108300,108000,107800,107700,107500,107100,106900,106800,106600,106300,106200,106400,106700,107000,107200,107300,107500,107500,107400,107600,107900,108100,108300,108300,108300,108500,108800,109100,109300,109600,110000,110400,110600,110800,111100,111600,111800,111900,112200,112500,112600,112900,113200,113400,113600,113800,114100,114600,115100,115500,116000,116600,117100,117800,118400,118900,119100,119400,119600,119800,120300,120900,121200,121400,122000,122500,123100,123900,124500
30,"Michigan",8,87600,87100,87300,88200,87900,87300,87000,87500,87700,87600,87600,88000,88600,89400,90000,90300,90700,91100,91500,92200,93100,94000,94300,94200,94700,95500,96000,96400,97100,98000,98900,99500,100000,101000,102300,103500,104600,105700,106700,107700,108700,109600,110200,110900,111600,112400,113500,114400,115000,115600,116400,116900,117300,117800,118400,118900,119700,120600,121500,122000,122500,123200,123800,124500,125300,125900,126100,126300,126500,126700,127000,127300,127500,127700,128000,128400,129000,129800,130700,131500,131900,132200,132600,133100,133600,134000,134300,134600,134900,135300,135600,136000,136400,136800,137200,137500,137700,138000,138200,138600,139000,139500,139900,140200,140500,140800,141000,141400,141900,142100,142200,142400,142500,142500,142600,142700,142700,142600,142200,141900,141500,141100,140700,140400,139800,139000,138600,138400,138100,137400,136800,136300,135700,135000,134000,133200,132500,131800,130800,129800,128800,127700,126100,124600,123000,121400,119700,118100,116400,114700,113000,110900,109900,110100,110300,109600,108700,107600,106700,105700,104500,103700,103300,103100,101700,99700,98600,98200,97600,97300,97100,96600,96100,95600,95100,94500,93900,93200,92400,91700,91000,90600,90200,89800,89600,89300,89100,88800,88700,88900,89000,89200,89700,90200,90500,91000,91700,92400,93000,93700,94400,95000,95500,96000,96900,98000,99300,100800,102100,103000,103900,104700,105600,106400,107200,108100,109000,109500,110200,111100,111900,112300,112700,113100,113900,114600,115200,115600,116200,116700,117100,117600,118100,118800,119300,119900,120700,121500,122100,122700,123300,124000,124800,125400,125800,126500,127500,128600,129500
16,"Georgia",9,92000,92400,92600,92700,92700,92900,93300,93700,94000,94300,94700,95000,95200,95700,96200,96900,97600,98000,98500,99000,99500,100000,100600,101300,101700,102100,102600,103400,104000,104700,105500,106000,106500,107400,108100,108500,109000,109800,110600,111500,112100,112700,113500,114100,114800,115800,116900,117800,118400,119100,119800,120400,121200,121800,122600,123200,123700,124100,124900,125600,126300,127000,127600,127900,128100,128400,128600,129000,129600,130200,130500,131000,131400,131900,132100,132500,133100,133600,133800,134300,134700,134800,135000,135600,136000,136500,136800,137100,137500,138000,138300,138800,139500,140000,140300,140800,141200,141300,141600,142100,142600,143200,143900,144300,144800,145500,146200,146600,147100,147800,148300,148900,149600,150300,151100,152000,152400,152800,153200,153600,154000,154500,155100,155500,155900,156200,156600,156900,156800,156300,156000,156000,156200,156300,156500,156500,156500,156500,156200,156000,155900,155300,154500,153900,152900,151800,150800,149800,148500,147200,145800,144200,143100,143100,143000,142400,141400,140200,139200,138500,137600,136800,136300,135900,135800,135800,135400,134700,134300,133900,133000,131800,130600,129200,127800,126600,125200,123600,122300,121200,120100,119200,118500,117900,117400,116800,116200,115700,115100,114700,114400,114200,114300,114400,114600,114900,115300,115800,116300,116700,117200,117600,118000,118500,119000,119700,120400,121300,122300,123300,124100,124800,125600,126200,126700,127400,128100,128800,129300,129800,130200,130800,131400,132100,132600,133100,134000,134800,135500,136500,137600,138600,139500,140500,141500,142600,143500,144100,144500,145200,145900,146700,147400,147900,148600,149600,150500,151400,152400
36,"North Carolina",10,91700,91900,92000,92300,92600,92900,93100,93400,93700,94300,94900,95400,96100,97000,97700,98200,98800,99500,100100,100600,101200,101800,102500,103200,103800,104200,104900,105700,106300,106600,107300,107900,108400,108600,108800,109400,109900,110400,111100,111600,111900,112300,112600,112600,113100,113700,114200,114600,115000,115500,115900,116100,116300,116900,117600,118200,118500,119100,119700,119900,119900,120100,120200,120200,120400,120600,120800,121000,121100,121300,121500,121900,122100,122200,122300,122800,123200,123200,123400,123900,124300,124500,124500,124700,125100,125600,125700,125800,126000,126300,126600,126900,127200,127600,128000,128400,128600,128900,129400,129900,130400,130900,131500,131900,132300,132700,133500,134100,134600,135100,135700,136500,137300,137900,138500,139300,140200,140800,141100,141600,142200,142800,143400,144000,144500,145100,145500,146000,146500,146900,147300,147900,148400,148900,149300,149700,150400,150900,151200,151300,151300,151200,151100,151100,151200,151300,151200,151100,150800,150400,149900,149100,148700,148700,148600,148300,147900,147500,147000,146600,146000,145700,145500,145300,145100,144900,144400,143900,143500,143000,142600,142000,141500,141100,140700,140400,140100,139800,139400,138800,138200,137900,137900,137800,137400,136700,136300,136100,136000,136000,136100,136200,136200,136100,136100,136000,136200,136400,136700,136900,137000,137200,137500,137800,138100,138400,138700,139000,139400,139800,140000,140100,140400,140700,141000,141300,141600,141600,141600,141700,141800,142000,142100,142200,142300,142500,142900,143400,143900,144500,145300,145900,146300,146700,147200,147900,148400,148700,149100,149700,150500,151300,151900,152500,153300,154100,155200,156400,157300
